"Date","Samsung","Xiaomi","Unknown","Vivo","Realme","Oppo","Apple","Tecno","Infinix","Google","Itel","Motorola","Huawei","OnePlus","Honor","Nokia","BBK","Lenovo","Lava","Nothing","ZTE","Sony","LG","Benco","Daria","Symphony","Asus","Other"
2026-02,14.18,14.91,22.33,10.05,8.34,7.85,6.85,3.52,3.09,0.96,2.38,1.43,1.33,1.14,0.81,0.22,0.12,0.11,0.1,0.05,0.07,0.05,0.03,0.04,0,0.01,0.01,0.03
2026-03,14.53,15.65,20.46,10.69,8.77,8.1,5.75,3.64,3.46,0.84,2.47,1.45,1.44,1.16,0.77,0.2,0.12,0.12,0.11,0.05,0.07,0.04,0.03,0.04,0,0.01,0.01,0.02
2026-04,14.55,16.7,17.77,11.01,9.27,8.55,5.81,3.59,3.5,0.96,2.33,1.63,1.36,1.2,0.89,0.21,0.14,0.1,0.11,0.08,0.05,0.04,0.03,0.06,0,0.01,0.01,0.02
2026-05,16.06,14.92,16.42,9.61,8.24,7.57,7.75,3.2,3.1,5.4,1.89,1.74,1.25,1.19,0.85,0.2,0.12,0.08,0.09,0.06,0.06,0.05,0.07,0.05,0,0.01,0.01,0.01
2026-06,25.06,17.87,12.35,7.41,6.69,5.86,9.25,2.39,2.18,3.71,1.34,1.55,1.79,1,0.79,0.19,0.1,0.08,0.06,0.08,0.03,0.04,0.05,0.02,0.05,0.01,0.02,0.02
2026-07,26.36,20.88,9.64,7.31,7.38,6.35,8.93,2.27,2.08,0.93,1.2,1.88,1.75,1.16,1.05,0.24,0.08,0.1,0.07,0.07,0.03,0.04,0.05,0.03,0.06,0.01,0.01,0.02
2026-08,15.29,17.6,12.88,10.51,9.8,9.52,8.73,2.92,2.83,1.24,1.39,2.44,1.21,1.63,1.13,0.22,0.12,0.1,0.09,0.09,0.05,0.07,0.06,0.02,0,0.01,0.01,0.02
