"Date","15.0","13.0","11.0","12.0","14.0","16.0","10.0","9.0 Pie","8.1 Oreo","6.0 Marshmallow","8.0 Oreo","5.0 Lollipop","5.1 Lollipop","7.1 Nougat","7.0 Nougat","17.0","4.4 KitKat","Other"
2026-02,20.42,16.42,15.03,15.19,13.57,5.64,4.26,3.49,2.34,1.67,0.31,0.14,0.93,0.32,0.18,0,0.06,0.02
2026-03,20.71,16.31,15.02,14.47,13.52,6.49,3.91,3.38,2.53,1.75,0.28,0.05,0.89,0.38,0.24,0,0.04,0.02
2026-04,20.43,16.42,14.77,14.24,13.13,8,4.08,3.43,2.15,1.47,0.33,0.11,0.8,0.27,0.28,0.03,0.04,0.01
2026-05,18.11,15.02,13.42,12.64,12.14,8.89,3.84,2.97,1.95,3.92,3.02,2.64,0.78,0.25,0.32,0.04,0.05,0.02
2026-06,15.09,16.5,14.14,12.96,13.08,10.14,4.82,3.21,2.01,2.69,2.33,1.78,0.57,0.25,0.3,0.06,0.04,0.02
2026-07,13.71,18.03,14.74,13.78,13.4,12.01,6.15,3.33,2.18,0.72,0.53,0.02,0.33,0.27,0.31,0.4,0.04,0.03
2026-08,15.13,17.4,14.02,13.99,11.61,13.35,6.19,3.09,2.13,0.91,0.24,0.03,0.4,0.28,0.24,0.89,0.07,0.04
